date,volume,open,high,low,close,adjclose
2020-03-10,12698100,139.97000122070312,141.9499969482422,134.22999572753906,141.63999938964844,140.66490173339844
2020-03-09,13848600,136.3300018310547,139.67999267578125,134.89999389648438,136.44000244140625,135.50070190429688
2020-03-06,12239100,138.47999572753906,143.00999450683594,137.41000366210938,142.02999877929688,141.05221557617188
2020-03-05,11339200,140.8000030517578,142.67999267578125,139.83999633789062,142.00999450683594,141.0323486328125
2020-03-04,10560500,137.67999267578125,143.63999938964844,137.13999938964844,143.47999572753906,142.4922332763672
2020-03-03,13662500,140,140.99000549316406,133.10000610351562,135.58999633789062,134.65655517578125
2020-03-02,11508200,134.77999877929688,140.1300048828125,134.00999450683594,140.02000427246094,139.05606079101562
2020-02-28,19825500,135.36000061035156,137.2899932861328,130.82000732421875,134.47999572753906,133.55418395996094
2020-02-27,12564700,142.55999755859375,144.77000427246094,138.9499969482422,139.1199951171875,138.16224670410156
2020-02-26,10093800,145.35000610351562,146.22000122070312,143.58999633789062,143.67999267578125,142.69085693359375
2020-02-25,10529000,145.99000549316406,146.75,143.8300018310547,144.64999389648438,143.6541748046875
2020-02-24,10588900,146.5,149,145.25,145.91000366210938,144.905517578125
2020-02-21,7776800,148.08999633789062,150.24000549316406,147.5399932861328,149.92999267578125,147.95436096191406
2020-02-20,7464700,148.61000061035156,149.3800048828125,147.39999389648438,148.3699951171875,146.41493225097656
2020-02-19,6115200,149.2100067138672,149.75999450683594,148.5800018310547,148.94000244140625,146.9774169921875
2020-02-18,7230700,150.47000122070312,150.74000549316406,149.05999755859375,149.13999938964844,147.17478942871094
2020-02-14,5716300,150.55999755859375,150.63999938964844,149.14999389648438,150.1300048828125,148.15174865722656
2020-02-13,5480200,150.16000366210938,151.0399932861328,149.8800048828125,150.08999633789062,148.11227416992188
2020-02-12,5166800,151.8699951171875,152.14999389648438,150.9199981689453,151.08999633789062,149.0990753173828
2020-02-11,3715300,152.2899932861328,152.3800048828125,151.5399932861328,151.99000549316406,149.98724365234375
2020-02-10,4835600,151.67999267578125,151.91000366210938,150.88999938964844,151.86000061035156,149.85894775390625
2020-02-07,5700300,153.33999633789062,153.4600067138672,151.5500030517578,151.88999938964844,149.8885498046875
2020-02-06,6201200,154.25,154.5,152.74000549316406,153.52999877929688,151.50692749023438
2020-02-05,5979900,151.72000122070312,154.02000427246094,151.30999755859375,153.99000549316406,151.96087646484375
2020-02-04,6541400,151.49000549316406,152.75,151.1999969482422,151.60000610351562,149.60238647460938
2020-02-03,5765200,149.4199981689453,150.49000549316406,149.24000549316406,150.1699981689453,148.1912078857422
2020-01-31,8651700,149.75,150,148.63999938964844,148.8699951171875,146.90834045410156
2020-01-30,6470600,150.02999877929688,150.50999450683594,149.0500030517578,150.36000061035156,148.3787078857422
2020-01-29,6288600,149.4499969482422,151.19000244140625,149.1300048828125,150.5399932861328,148.55633544921875
2020-01-28,7336600,148.4600067138672,150.57000732421875,148.14999389648438,149.5,147.53004455566406
2020-01-27,7587100,147.52000427246094,149.4600067138672,147,148.75,146.7899169921875
2020-01-24,9051900,148.5800018310547,148.9499969482422,147.92999267578125,148.32000732421875,146.3656005859375
2020-01-23,8671900,148.0399932861328,148.77000427246094,146.75999450683594,148.52999877929688,146.57281494140625
2020-01-22,10305300,146.6999969482422,149.17999267578125,146,148.25,146.29652404785156
2020-01-21,9543900,148.5800018310547,150.1699981689453,148.5,149.27000427246094,147.30307006835938
2020-01-17,9083600,148.41000366210938,149.41000366210938,147.92999267578125,149.1699981689453,147.2043914794922
2020-01-16,6476000,147.4199981689453,148.83999633789062,146.1999969482422,148.1999969482422,146.24716186523438
2020-01-15,4960300,146.39999389648438,147.39999389648438,146.24000549316406,147.00999450683594,145.07284545898438
2020-01-14,7037500,145.0500030517578,146.61000061035156,144.72999572753906,146.52000427246094,144.5893096923828
2020-01-13,4593200,145.47999572753906,145.7899932861328,144.72000122070312,145.6999969482422,143.78012084960938
2020-01-10,5042600,145.75,146.17999267578125,144.89999389648438,145.05999755859375,143.14854431152344
2020-01-09,6112700,145.75999450683594,146.02999877929688,144.99000549316406,145.38999938964844,143.4741973876953
2020-01-08,6605800,144.8699951171875,145.97999572753906,143.6999969482422,144.9600067138672,143.0498809814453
2020-01-07,7382900,144.00999450683594,145.4499969482422,141.3800048828125,144.97999572753906,143.06959533691406
2020-01-06,7731300,144,144.1999969482422,142.85000610351562,144.10000610351562,142.20120239257812
2020-01-03,5752400,143.5,145.3699951171875,143,144.27999877929688,142.37881469726562
2020-01-02,5777000,145.8699951171875,146.02000427246094,145.0800018310547,145.97000122070312,144.0465545654297
2019-12-31,4435000,145.10000610351562,146.00999450683594,144.77999877929688,145.8699951171875,143.9478759765625
2019-12-30,2923300,145.77999877929688,146.1999969482422,145.02999877929688,145.3000030517578,143.38539123535156
2019-12-27,3432700,146.1999969482422,146.5500030517578,145.5399932861328,145.75,143.82945251464844
2019-12-26,3019300,145.97000122070312,146.17999267578125,145.16000366210938,145.8300018310547,143.9084014892578
2019-12-24,4238900,146,146.00999450683594,145.25999450683594,145.92999267578125,144.007080078125
2019-12-23,6558700,145.74000549316406,146.75999450683594,145.33999633789062,146.44000244140625,144.51036071777344
2019-12-20,14532800,146.8800048828125,147.83999633789062,144.8000030517578,146.05999755859375,144.13536071777344
2019-12-19,9414700,143.88999938964844,145.8800048828125,143.61000061035156,145.35000610351562,143.4347381591797
2019-12-18,7849200,143.72000122070312,143.8800048828125,142.74000549316406,143.19000244140625,141.30319213867188
2019-12-17,10722400,143,144.0500030517578,142.52000427246094,143.55999755859375,141.66830444335938
2019-12-16,5353100,141.72999572753906,142.85000610351562,141.49000549316406,141.7899932861328,139.921630859375
2019-12-13,4257200,141.10000610351562,141.8000030517578,140.30999755859375,141.3800048828125,139.51702880859375
2019-12-12,5012400,141.32000732421875,142.05999755859375,140.72999572753906,141.33999633789062,139.47755432128906
2019-12-11,6631500,140.92999267578125,141.97999572753906,140.6300048828125,140.97999572753906,139.122314453125
2019-12-10,5310300,140.8000030517578,141,139.91000366210938,139.99000549316406,138.14537048339844
2019-12-09,4241000,140.38999938964844,140.80999755859375,140.05999755859375,140.5,138.6486358642578
2019-12-06,6640400,139.4600067138672,141.5800018310547,139.4600067138672,140.3800048828125,138.5302276611328
2019-12-05,5472900,139.35000610351562,139.75,137.9499969482422,139.55999755859375,137.72100830078125
2019-12-04,7257300,138.5,139.74000549316406,138.0399932861328,139.3800048828125,137.54339599609375
2019-12-03,5741400,136.91000366210938,137.4499969482422,136.16000366210938,137.16000366210938,135.35264587402344
2019-12-02,4717100,137.72000122070312,137.85000610351562,136.85000610351562,137.36000061035156,135.55001831054688
2019-11-29,3278900,137.60000610351562,138.27000427246094,136.94000244140625,137.49000549316406,135.6782989501953
2019-11-27,5523000,137.16000366210938,138.25,136.89999389648438,137.75,135.93487548828125
2019-11-26,10636500,136.47000122070312,137.33999633789062,135.14999389648438,137.1699981689453,135.36251831054688
2019-11-25,6111900,137.05999755859375,137.64999389648438,136.24000549316406,137.17999267578125,135.3723602294922
2019-11-22,9235800,136.64999389648438,138.6300048828125,136.5,138.07000732421875,135.31317138671875
2019-11-21,6424900,135.94000244140625,136.85000610351562,135,136.44000244140625,133.71572875976562
2019-11-20,7594400,135.11000061035156,136.33999633789062,134.07000732421875,135.94000244140625,133.2257080078125
2019-11-19,5192200,135,135.19000244140625,134.2100067138672,134.82000732421875,132.1280517578125
2019-11-18,9291800,134.22000122070312,135.69000244140625,132.66000366210938,134.8300018310547,132.1378631591797
2019-11-15,10495100,131.25,134.97000122070312,130.77999877929688,134.94000244140625,132.2456817626953
2019-11-14,4217500,131.02999877929688,131.36000061035156,130.13999938964844,130.9600067138672,128.3451385498047
2019-11-13,5885400,131.0399932861328,131.49000549316406,130.72000122070312,131.27000427246094,128.64895629882812
2019-11-12,5228700,132,132.08999633789062,131.02000427246094,131.35000610351562,128.7273406982422
2019-11-11,4371400,132.27000427246094,132.52000427246094,131.3300018310547,131.97999572753906,129.3447723388672
2019-11-08,5003000,131.3000030517578,133.0399932861328,130.97000122070312,133,130.3444061279297
2019-11-07,5873700,131.72999572753906,132.3800048828125,131.00999450683594,131.42999267578125,128.8057403564453
2019-11-06,5450000,130.4199981689453,131.47999572753906,129.6999969482422,130.9600067138672,128.3451385498047
2019-11-05,6257300,130.52999877929688,131.47000122070312,129.67999267578125,130.4199981689453,127.81592559814453
2019-11-04,6140300,131.8000030517578,131.9499969482422,130.08999633789062,130.22999572753906,127.62969970703125
2019-11-01,5541800,132.0500030517578,133,131.13999938964844,131.1999969482422,128.58033752441406
2019-10-31,7686600,132.3800048828125,132.83999633789062,130.88999938964844,132.0399932861328,129.403564453125
2019-10-30,9627600,133.3000030517578,133.52999877929688,131.72999572753906,132.83999633789062,130.18760681152344
2019-10-29,4506300,129.6999969482422,129.97000122070312,128.55999755859375,129.1199951171875,126.54186248779297
2019-10-28,7875900,128.6199951171875,130,128.50999450683594,129.17999267578125,126.60067749023438
2019-10-25,6947300,127.83000183105469,129.10000610351562,127.30999755859375,128.35000610351562,125.7872543334961
2019-10-24,12111600,130.4199981689453,130.5800018310547,126.0999984741211,127.5,124.9542236328125
2019-10-23,6693400,129.66000366210938,130.47999572753906,129.07000732421875,129.89999389648438,127.30630493164062
2019-10-22,7613700,128.75999450683594,130.5399932861328,128.08999633789062,129.1999969482422,126.62026977539062
2019-10-21,13823600,128.6699981689453,129.6699981689453,127.05999755859375,128.02000427246094,125.4638442993164
2019-10-18,25868700,133.30999755859375,134.38999938964844,127.69999694824219,127.69999694824219,125.15022277832031
2019-10-17,8434000,135.9600067138672,137.49000549316406,135.64999389648438,136.1699981689453,133.4510955810547
2019-10-16,12434200,134.89999389648438,136.58999633789062,133.8000030517578,135.1699981689453,132.4710693359375
2019-10-15,10008800,133,134.25,132.10000610351562,132.83999633789062,130.18760681152344
2019-10-14,5700000,131.36000061035156,131.36000061035156,130.4199981689453,130.72000122070312,128.10992431640625
2019-10-11,7161400,131.13999938964844,132.6199951171875,130.82000732421875,131.3300018310547,128.70774841308594
2019-10-10,5119700,128.9499969482422,130.1199951171875,128.6300048828125,129.05999755859375,126.48307037353516
2019-10-09,7787700,131.13999938964844,131.25,128.52000427246094,129.22000122070312,126.63987731933594
2019-10-08,7870400,132.4499969482422,133.25999450683594,131.49000549316406,131.83999633789062,129.2075653076172
2019-10-07,5427200,133.08999633789062,133.82000732421875,132.13999938964844,133.16000366210938,130.50120544433594
2019-10-04,7233300,131.33999633789062,133.72000122070312,131.25,133.66000366210938,130.99122619628906
2019-10-03,6997600,131.63999938964844,132.3699951171875,130.00999450683594,131.19000244140625,128.57054138183594
2019-10-02,12051800,132.75999450683594,134.6999969482422,131.22000122070312,132,129.36436462402344
2019-10-01,7673000,130.02000427246094,130.8000030517578,129.77000427246094,129.99000549316406,127.3945083618164
2019-09-30,6552100,129.07000732421875,130.27999877929688,129,129.3800048828125,126.79668426513672
